City_ID,City,Lat,Lng,Max_Temp,Humidity,Cloudiness,Wind_Speed,Country,Date
507,college,64.8569,-147.8028,-14.01,78,75,0.0,US,1675826984
508,tyret pervaya,53.6703,102.3106,-16.89,97,100,1.77,RU,1675826984
509,phan thiet,10.9333,108.1,29.88,55,16,4.03,VN,1675826984
510,hofn,64.2539,-15.2082,0.47,60,100,8.18,IS,1675826985
511,ambilobe,-13.2,49.05,22.96,94,100,0.88,MG,1675826986
512,palana,59.1167,159.9667,-23.82,94,97,5.16,RU,1675826986
513,aranos,-24.1333,19.1167,20.8,71,83,1.0,NA,1675826987
514,olga,43.7444,135.2892,-3.72,45,78,4.24,RU,1675826988
515,mudgee,-32.5943,149.5871,27.66,38,38,3.78,AU,1675826814
516,olustvere,58.5552,25.563,-0.78,91,100,4.65,EE,1675826988
517,villarrica,-25.75,-56.4333,24.32,44,0,1.89,PY,1675826989
518,ancud,-41.8697,-73.8203,13.49,93,2,1.9,CL,1675826989
519,artigas,-30.4,-56.4667,25.19,33,0,3.74,UY,1675826990
520,komsomolskiy,40.4272,71.7189,0.4,80,99,3.09,UZ,1675826990
521,ust-ilimsk,58.0006,102.6619,-12.51,93,100,2.09,RU,1675826991
522,beringovskiy,63.05,179.3167,-28.02,94,71,3.48,RU,1675826765
523,pipri,19.8,75.5333,21.69,34,3,1.77,IN,1675826992
524,craig,40.5153,-107.5464,-8.21,85,0,0.0,US,1675826993
525,nushki,29.5542,66.0215,14.7,33,100,3.38,PK,1675826993
526,sri aman,1.2376,111.4621,30.03,79,20,0.51,MY,1675826994
527,taksimo,56.3444,114.8794,-17.21,79,57,0.68,RU,1675826994
528,oussouye,12.485,-16.5469,20.1,44,60,3.86,SN,1675826722
529,biltine,14.5333,20.9167,19.26,24,94,7.66,TD,1675826995
530,samana,19.2056,-69.3369,22.65,87,17,4.61,DO,1675826995
531,galesong,-5.3166,119.3661,25.01,71,88,4.28,ID,1675826996
532,bereda,43.2686,-7.5406,-1.03,94,37,1.14,ES,1675826996
533,murgab,37.4966,61.9714,10.93,40,0,4.12,TM,1675826997
534,arman,59.7,150.1667,-23.88,75,33,3.43,RU,1675826997
535,ulladulla,-35.35,150.4667,20.06,81,100,1.34,AU,1675826997
536,matara,5.9485,80.5353,24.83,87,91,3.08,LK,1675826998
537,clyde river,70.4692,-68.5914,-34.87,68,0,2.57,CA,1675826998
